playout_delay_ms = 106, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 106, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 108, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 108, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 107, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 107, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 103, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 107, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 104, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 104, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 103, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 106, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 109, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 109, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 107, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 105, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 105, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 108, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 107, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 111, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 112, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 107, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 107, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 114, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 116, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 109, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 111, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 112, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 112, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 109, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 108, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 108, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 108, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 103, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 108, highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
